FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-44,25-44 anni,99,Totale,2023,17.8,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2022,15.7,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2023,14.5,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE65,65 anni e più,99,Totale,2022,8.3,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE65,65 anni e più,99,Totale,2023,8.5,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE6,6 anni e più,99,Totale,2022,17,,
A,Annuale,6_PC_1P_SETT,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: una o più volte alla settimana,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE6,6 anni e più,99,Totale,2023,16.3,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,5.4,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,5.7,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,4.4,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,4.1,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,3.4,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,3.3,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,1.6,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,2.7,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,3.7,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,3.8,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,6.4,,
A,Annuale,6_PC_QV_MESE,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: frequenza di utilizzo del pc: qualche volta al mese,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,5.9,,
