FREQ,Frequenza,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y15-17,15-17 anni,2024,27.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y18-19,18-19 anni,2024,32.2,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y20-24,20-24 anni,2024,35.1,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y25-34,25-34 anni,2024,33,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y35-44,35-44 anni,2024,30.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y45-54,45-54 anni,2024,24.9,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y55-59,55-59 anni,2024,20.5,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y60-64,60-64 anni,2024,16.9,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y65-74,65-74 anni,2024,16.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y_GE75,75 anni e più,2024,11.1,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y_GE6,6 anni e più,2024,23.7,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y6-10,6-10 anni,2024,0.9,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y11-14,11-14 anni,2024,4.6,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y15-17,15-17 anni,2024,9.1,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y18-19,18-19 anni,2024,10.8,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y20-24,20-24 anni,2024,17,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y25-34,25-34 anni,2024,15.2,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y35-44,35-44 anni,2024,12.8,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y45-54,45-54 anni,2024,12,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y55-59,55-59 anni,2024,9.3,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y60-64,60-64 anni,2024,7.7,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y65-74,65-74 anni,2024,8.6,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y_GE75,75 anni e più,2024,4.8,,
A,Annuale,INCONSUL,'Partecipare a consultazioni online su temi sociali o politici (es. pianificazione urbana, firmare una petrizione)',9,Totale,Y_GE6,6 anni e più,2024,10.5,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,UPCONT,Caricare contenuti di propria creazione  sui siti web per condividerli,9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y6-10,6-10 anni,2024,68.1,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y11-14,11-14 anni,2024,76.6,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y15-17,15-17 anni,2024,74.5,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y18-19,18-19 anni,2024,66.4,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y20-24,20-24 anni,2024,56.6,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y25-34,25-34 anni,2024,45.3,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y35-44,35-44 anni,2024,34.6,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y45-54,45-54 anni,2024,28.5,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y55-59,55-59 anni,2024,22.6,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y60-64,60-64 anni,2024,18.1,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y65-74,65-74 anni,2024,16.9,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y_GE75,75 anni e più,2024,14.2,,
A,Annuale,PGAME,'Giocare o scaricare giochi, immagini, film, musica',9,Totale,Y_GE6,6 anni e più,2024,36.7,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,DOWSOF,Scaricare software diversi dai giochi,9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,INJOB,Cercare lavoro o mandare una richiesta di lavoro,9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y6-10,6-10 anni,2024,3.4,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y11-14,11-14 anni,2024,9.2,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y15-17,15-17 anni,2024,21.5,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y18-19,18-19 anni,2024,25.1,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y20-24,20-24 anni,2024,29.5,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y25-34,25-34 anni,2024,26.6,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y35-44,35-44 anni,2024,23.5,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y45-54,45-54 anni,2024,20.7,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y55-59,55-59 anni,2024,19.5,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y60-64,60-64 anni,2024,12.3,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y65-74,65-74 anni,2024,5.9,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y_GE75,75 anni e più,2024,1.5,,
A,Annuale,INCOUR,Fare un corso online,9,Totale,Y_GE6,6 anni e più,2024,17.9,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y15-17,15-17 anni,2024,8.2,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y18-19,18-19 anni,2024,43.2,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y20-24,20-24 anni,2024,63.7,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y25-34,25-34 anni,2024,73.6,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y35-44,35-44 anni,2024,69.8,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y45-54,45-54 anni,2024,66.8,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y55-59,55-59 anni,2024,60.8,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y60-64,60-64 anni,2024,53.8,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y65-74,65-74 anni,2024,49.9,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y_GE75,75 anni e più,2024,37.1,,
A,Annuale,INBANK,Usare servizi bancari,9,Totale,Y_GE6,6 anni e più,2024,54.1,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y11-14,11-14 anni,2024,4.3,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y15-17,15-17 anni,2024,13.1,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y18-19,18-19 anni,2024,20,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y20-24,20-24 anni,2024,26.6,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y25-34,25-34 anni,2024,29.1,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y35-44,35-44 anni,2024,27.1,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y45-54,45-54 anni,2024,21,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y55-59,55-59 anni,2024,14.2,,
