FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,359,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2022,1241,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,1116,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2022,739,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,784,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2022,3165,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2023,2964,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2022,1477,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2023,1485,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2022,971,,
